Emotion,Precision,Recall,F1-Score,Support
anger,0.5596707818930041,0.7120418848167539,0.6267281105990783,191
disgust,0.5,0.010471204188481676,0.020512820512820513,191
fear,0.28125,0.09473684210526316,0.14173228346456693,190
happy,0.3869346733668342,0.4031413612565445,0.39487179487179486,191
neutral,0.0,0.0,0.0,163
sad,0.27347611202635913,0.8691099476439791,0.41604010025062654,191
